Driver,Trip,Week,AgeGroup,Cluster
1,65,3,3,0
1,66,3,3,0
1,102,3,3,0
1,103,3,3,0
1,126,4,3,0
1,127,4,3,0
1,155,4,3,0
1,157,4,3,0
1,174,5,3,0
1,175,5,3,0
1,181,5,3,0
1,182,5,3,0
1,183,5,3,0
2,78,3,1,1
2,80,3,1,1
2,87,3,1,1
2,90,3,1,1
2,91,3,1,1
2,94,3,1,0
2,126,4,1,1
2,131,4,1,1
2,132,4,1,1
2,137,4,1,1
2,138,4,1,1
2,139,4,1,0
2,140,4,1,0
2,148,4,1,1
2,149,4,1,1
2,150,4,1,1
2,174,5,1,1
2,175,5,1,0
2,187,5,1,1
2,188,5,1,0
2,190,5,1,1
2,204,5,1,1
2,205,5,1,1
2,236,6,1,1
2,237,6,1,1
2,238,6,1,1
2,249,6,1,1
2,253,6,1,1
2,254,6,1,1
2,255,6,1,1
3,159,6,3,0
3,180,6,3,0
4,97,3,1,1
4,99,3,1,0
4,121,3,1,1
4,122,3,1,0
4,124,3,1,1
4,125,3,1,1
4,126,4,1,1
4,129,4,1,1
4,140,4,1,1
4,143,4,1,0
4,148,4,1,1
4,151,4,1,0
4,158,4,1,1
4,160,4,1,1
4,163,4,1,0
4,166,4,1,0
4,167,4,1,0
4,169,4,1,0
4,177,4,1,1
4,178,4,1,1
4,186,4,1,1
4,187,4,1,0
4,189,5,1,1
4,194,5,1,1
4,199,5,1,1
4,201,5,1,0
4,205,5,1,1
4,207,5,1,0
4,208,5,1,1
4,235,5,1,1
4,239,6,1,1
4,242,6,1,1
4,251,6,1,0
4,252,6,1,0
4,279,6,1,1
4,280,6,1,1
4,291,6,1,1
4,292,6,1,0
5,65,3,3,0
5,73,3,3,0
5,75,3,3,0
5,82,3,3,0
5,83,3,3,0
5,84,3,3,1
5,90,3,3,0
5,91,3,3,0
5,93,3,3,0
5,96,3,3,1
5,99,3,3,0
5,102,3,3,1
5,103,3,3,0
5,104,3,3,1
5,105,3,3,1
5,109,3,3,0
5,111,4,3,0
5,112,4,3,0
5,113,4,3,0
5,122,4,3,0
5,125,4,3,0
5,126,4,3,0
5,128,4,3,0
5,129,4,3,0
5,131,4,3,0
5,135,4,3,0
5,137,4,3,1
5,143,4,3,1
5,145,4,3,0
5,146,4,3,0
5,147,4,3,0
5,149,4,3,0
5,152,5,3,0
5,153,5,3,0
5,162,5,3,0
5,163,5,3,1
5,166,5,3,0
5,169,5,3,0
5,170,5,3,0
5,172,5,3,1
5,173,5,3,0
5,175,5,3,1
5,180,6,3,0
5,181,6,3,0
5,182,6,3,0
5,183,6,3,1
5,184,6,3,0
5,185,6,3,0
5,186,6,3,0
5,189,6,3,0
5,190,6,3,0
5,192,6,3,1
5,193,6,3,0
5,195,6,3,0
5,208,6,3,1
5,211,6,3,0
5,212,6,3,0
6,84,3,3,1
6,85,3,3,0
6,106,4,3,0
6,126,5,3,1
6,130,5,3,1
6,137,5,3,0
6,138,5,3,0
6,140,5,3,1
6,142,5,3,1
6,161,6,3,1
6,164,6,3,1
7,43,3,3,0
7,45,3,3,0
7,67,5,3,0
7,69,5,3,0
7,73,5,3,1
7,80,5,3,0
7,81,5,3,0
7,93,6,3,0
8,86,3,2,0
8,87,3,2,0
8,88,3,2,0
8,89,3,2,0
8,90,3,2,0
8,91,3,2,0
8,93,3,2,0
8,95,3,2,0
8,96,3,2,0
8,97,3,2,0
8,112,3,2,0
8,113,3,2,0
8,126,3,2,0
8,127,3,2,0
8,128,3,2,0
