Driver,Risk Level,TripsPerWeek,DistancePerTrip
1.0,0.0,9.5,23.569224920454257
2.0,1.0,13.0,4.689929638286827
3.0,0.0,5.0,51.48113006188629
4.0,0.0,15.0,4.187432334552333
5.0,0.0,3.0,4.781983079511034
6.0,1.0,22.0,4.6515073280795445
7.0,0.0,2.5,5.277777841668
8.0,1.0,3.5,5.931896810202856
9.0,1.0,10.5,14.894293597129872
11.0,1.0,10.0,15.17266268960555
13.0,1.0,10.0,6.391006124420151
17.0,1.0,18.5,4.4549538163932505
20.0,1.0,5.5,7.394091621223637
21.0,1.0,15.5,11.011074080808834
22.0,1.0,11.0,11.6863987834345
23.0,0.0,5.0,5.07936663043615
24.0,0.0,4.0,7.036414540552501
25.0,1.0,5.5,3.6289378968172725
26.0,1.0,5.0,12.832856911632998
27.0,1.0,15.0,7.321195401964999
29.0,0.0,4.5,9.527045887715554
32.0,0.0,3.5,11.341872353234143
33.0,1.0,7.5,7.5562911349993325
34.0,1.0,12.5,6.481668322834801
35.0,1.0,9.0,5.389727513142777
37.0,1.0,10.0,9.64888355773735
38.0,1.0,6.5,9.64294129533523
39.0,0.0,3.5,8.339144818161428
40.0,1.0,8.0,36.2283093130072
41.0,1.0,4.5,10.342960551974443
